flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival,ticket_no,flight_id,fare_conditions,amount,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival,5432079221,36094,business,99800.00,ticket_no,flight_id,boarding_no,seat_no,aircraft_code,model,range
136669,PG0480,2017-01-17T09:25:00Z,2017-01-17T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-17T09:26:00Z,2017-01-17T10:17:00Z,5432319202   ,136669,Economy,6300.00,,,,,,,,,,,,,,5432319202   ,136669,2,16A,SU9,Sukhoi Superjet-100,3000
136672,PG0480,2017-02-03T09:25:00Z,2017-02-03T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-03T09:28:00Z,2017-02-03T10:18:00Z,5432319888   ,136672,Economy,6300.00,,,,,,,,,,,,,,5432319888   ,136672,21,16A,SU9,Sukhoi Superjet-100,3000
136807,PG0480,2017-02-23T09:25:00Z,2017-02-23T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-23T09:28:00Z,2017-02-23T10:18:00Z,5432320819   ,136807,Economy,6300.00,,,,,,,,,,,,,,5432320819   ,136807,23,16A,SU9,Sukhoi Superjet-100,3000
136778,PG0480,2017-02-22T09:25:00Z,2017-02-22T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-22T09:26:00Z,2017-02-22T10:16:00Z,5432320897   ,136778,Economy,6300.00,,,,,,,,,,,,,,5432320897   ,136778,75,16A,SU9,Sukhoi Superjet-100,3000
136586,PG0480,2017-01-10T09:25:00Z,2017-01-10T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-10T09:28:00Z,2017-01-10T10:18:00Z,5432374702   ,136586,Economy,6300.00,,,,,,,,,,,,,,5432374702   ,136586,55,16C,SU9,Sukhoi Superjet-100,3000
136927,PG0480,2017-01-22T09:25:00Z,2017-01-22T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-22T09:28:00Z,2017-01-22T10:19:00Z,5432375141   ,136927,Economy,6300.00,,,,,,,,,,,,,,5432375141   ,136927,26,16C,SU9,Sukhoi Superjet-100,3000
136678,PG0480,2017-01-28T09:25:00Z,2017-01-28T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-28T09:27:00Z,2017-01-28T10:17:00Z,5432375246   ,136678,Economy,6300.00,,,,,,,,,,,,,,5432375246   ,136678,44,16C,SU9,Sukhoi Superjet-100,3000
136869,PG0480,2017-01-31T09:25:00Z,2017-01-31T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-31T09:26:00Z,2017-01-31T10:16:00Z,5432375386   ,136869,Economy,6300.00,,,,,,,,,,,,,,5432375386   ,136869,63,16C,SU9,Sukhoi Superjet-100,3000
136660,PG0480,2017-02-20T09:25:00Z,2017-02-20T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-20T09:26:00Z,2017-02-20T10:15:00Z,5432376197   ,136660,Economy,6300.00,,,,,,,,,,,,,,5432376197   ,136660,4,16C,SU9,Sukhoi Superjet-100,3000
136672,PG0480,2017-02-03T09:25:00Z,2017-02-03T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-03T09:28:00Z,2017-02-03T10:18:00Z,5432375654   ,136672,Economy,6300.00,,,,,,,,,,,,,,5432375654   ,136672,11,16C,SU9,Sukhoi Superjet-100,3000
136802,PG0480,2017-02-26T09:25:00Z,2017-02-26T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-26T09:32:00Z,2017-02-26T10:22:00Z,5432376529   ,136802,Economy,6300.00,,,,,,,,,,,,,,5432376529   ,136802,79,16C,SU9,Sukhoi Superjet-100,3000
136632,PG0480,2017-01-07T09:25:00Z,2017-01-07T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-07T12:42:00Z,2017-01-07T13:33:00Z,5432374434   ,136632,Economy,6300.00,,,,,,,,,,,,,,5432374434   ,136632,75,16C,SU9,Sukhoi Superjet-100,3000
136630,PG0480,2017-02-25T09:25:00Z,2017-02-25T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-25T09:32:00Z,2017-02-25T10:22:00Z,5432376362   ,136630,Economy,6300.00,,,,,,,,,,,,,,5432376362   ,136630,14,16C,SU9,Sukhoi Superjet-100,3000
136609,PG0480,2017-01-08T09:25:00Z,2017-01-08T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-08T09:28:00Z,2017-01-08T10:18:00Z,5432374732   ,136609,Economy,6300.00,,,,,,,,,,,,,,5432374732   ,136609,41,16C,SU9,Sukhoi Superjet-100,3000
136733,PG0480,2017-01-09T09:25:00Z,2017-01-09T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-09T09:27:00Z,2017-01-09T10:18:00Z,5432374538   ,136733,Economy,6300.00,,,,,,,,,,,,,,5432374538   ,136733,1,16C,SU9,Sukhoi Superjet-100,3000
136857,PG0480,2017-02-13T09:25:00Z,2017-02-13T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-13T09:31:00Z,2017-02-13T10:21:00Z,5432053791   ,136857,Economy,6300.00,,,,,,,,,,,,,,5432053791   ,136857,67,16C,SU9,Sukhoi Superjet-100,3000
136922,PG0480,2017-02-11T09:25:00Z,2017-02-11T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-11T09:27:00Z,2017-02-11T10:17:00Z,5432375949   ,136922,Economy,6300.00,,,,,,,,,,,,,,5432375949   ,136922,28,16C,SU9,Sukhoi Superjet-100,3000
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,5432318268   ,136661,Economy,6300.00,,,,,,,,,,,,,,5432318268   ,136661,54,16C,SU9,Sukhoi Superjet-100,3000
136838,PG0480,2017-01-24T09:25:00Z,2017-01-24T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-24T09:30:00Z,2017-01-24T10:21:00Z,5432319351   ,136838,Economy,6300.00,,,,,,,,,,,,,,5432319351   ,136838,8,16C,SU9,Sukhoi Superjet-100,3000
136956,PG0480,2017-02-04T09:25:00Z,2017-02-04T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-04T09:33:00Z,2017-02-04T10:23:00Z,5432319699   ,136956,Economy,6300.00,,,,,,,,,,,,,,5432319699   ,136956,48,16C,SU9,Sukhoi Superjet-100,3000
136620,PG0480,2017-02-17T09:25:00Z,2017-02-17T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-17T09:30:00Z,2017-02-17T10:19:00Z,5432320361   ,136620,Economy,6300.00,,,,,,,,,,,,,,5432320361   ,136620,13,16C,SU9,Sukhoi Superjet-100,3000
136612,PG0480,2017-02-21T09:25:00Z,2017-02-21T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-21T09:27:00Z,2017-02-21T10:17:00Z,5432320773   ,136612,Economy,6300.00,,,,,,,,,,,,,,5432320773   ,136612,45,16C,SU9,Sukhoi Superjet-100,3000
136844,PG0480,2017-02-28T09:25:00Z,2017-02-28T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-28T09:26:00Z,2017-02-28T10:16:00Z,5432320946   ,136844,Economy,6300.00,,,,,,,,,,,,,,5432320946   ,136844,35,16C,SU9,Sukhoi Superjet-100,3000
136781,PG0480,2017-01-14T09:25:00Z,2017-01-14T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-14T09:26:00Z,2017-01-14T10:16:00Z,5432374863   ,136781,Economy,6300.00,,,,,,,,,,,,,,5432374863   ,136781,75,16C,SU9,Sukhoi Superjet-100,3000
136819,PG0480,2017-01-04T09:25:00Z,2017-01-04T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-04T09:29:00Z,2017-01-04T10:19:00Z,5432374347   ,136819,Economy,6300.00,,,,,,,,,,,,,,5432374347   ,136819,29,16C,SU9,Sukhoi Superjet-100,3000
136706,PG0480,2017-01-06T09:25:00Z,2017-01-06T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-06T09:30:00Z,2017-01-06T10:20:00Z,5432374460   ,136706,Economy,6300.00,,,,,,,,,,,,,,5432374460   ,136706,92,16C,SU9,Sukhoi Superjet-100,3000
136669,PG0480,2017-01-17T09:25:00Z,2017-01-17T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-17T09:26:00Z,2017-01-17T10:17:00Z,5432319036   ,136669,Economy,6300.00,,,,,,,,,,,,,,5432319036   ,136669,8,16C,SU9,Sukhoi Superjet-100,3000
136900,PG0480,2017-02-01T09:25:00Z,2017-02-01T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-01T09:30:00Z,2017-02-01T10:21:00Z,5432319413   ,136900,Economy,6300.00,,,,,,,,,,,,,,5432319413   ,136900,59,16C,SU9,Sukhoi Superjet-100,3000
136823,PG0480,2017-02-05T09:25:00Z,2017-02-05T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-05T09:27:00Z,2017-02-05T10:18:00Z,5432319459   ,136823,Economy,6300.00,,,,,,,,,,,,,,5432319459   ,136823,36,16C,SU9,Sukhoi Superjet-100,3000
136757,PG0480,2017-01-27T09:25:00Z,2017-01-27T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-27T09:30:00Z,2017-01-27T10:19:00Z,5432319531   ,136757,Economy,6300.00,,,,,,,,,,,,,,5432319531   ,136757,69,16C,SU9,Sukhoi Superjet-100,3000
136951,PG0480,2017-02-02T09:25:00Z,2017-02-02T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-02T09:28:00Z,2017-02-02T10:17:00Z,5432319770   ,136951,Economy,6300.00,,,,,,,,,,,,,,5432319770   ,136951,38,16C,SU9,Sukhoi Superjet-100,3000
136754,PG0480,2017-02-06T09:25:00Z,2017-02-06T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-06T09:29:00Z,2017-02-06T10:18:00Z,5432319985   ,136754,Economy,6300.00,,,,,,,,,,,,,,5432319985   ,136754,44,16C,SU9,Sukhoi Superjet-100,3000
136815,PG0480,2017-02-19T09:25:00Z,2017-02-19T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-19T09:26:00Z,2017-02-19T10:17:00Z,5432320568   ,136815,Economy,6300.00,,,,,,,,,,,,,,5432320568   ,136815,40,16C,SU9,Sukhoi Superjet-100,3000
136778,PG0480,2017-02-22T09:25:00Z,2017-02-22T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-22T09:26:00Z,2017-02-22T10:16:00Z,5432320704   ,136778,Economy,6300.00,,,,,,,,,,,,,,5432320704   ,136778,73,16C,SU9,Sukhoi Superjet-100,3000
136755,PG0480,2017-01-21T09:25:00Z,2017-01-21T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-21T09:30:00Z,2017-01-21T10:20:00Z,5432374964   ,136755,Economy,6300.00,,,,,,,,,,,,,,5432374964   ,136755,79,16C,SU9,Sukhoi Superjet-100,3000
136758,PG0480,2017-01-12T09:25:00Z,2017-01-12T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-12T09:26:00Z,2017-01-12T10:15:00Z,5432318515   ,136758,Economy,6300.00,,,,,,,,,,,,,,5432318515   ,136758,24,16C,SU9,Sukhoi Superjet-100,3000
136871,PG0480,2017-01-13T09:25:00Z,2017-01-13T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-13T09:28:00Z,2017-01-13T10:18:00Z,5432318717   ,136871,Economy,6300.00,,,,,,,,,,,,,,5432318717   ,136871,47,16C,SU9,Sukhoi Superjet-100,3000
136767,PG0480,2017-01-23T09:25:00Z,2017-01-23T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-23T09:27:00Z,2017-01-23T10:18:00Z,5432319196   ,136767,Economy,6300.00,,,,,,,,,,,,,,5432319196   ,136767,33,16C,SU9,Sukhoi Superjet-100,3000
136649,PG0480,2017-01-18T09:25:00Z,2017-01-18T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-18T09:25:00Z,2017-01-18T10:15:00Z,5432319129   ,136649,Economy,6300.00,,,,,,,,,,,,,,5432319129   ,136649,87,16C,SU9,Sukhoi Superjet-100,3000
136571,PG0480,2017-01-25T09:25:00Z,2017-01-25T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-25T09:28:00Z,2017-01-25T10:18:00Z,5432319362   ,136571,Economy,6300.00,,,,,,,,,,,,,,5432319362   ,136571,69,16C,SU9,Sukhoi Superjet-100,3000
136861,PG0480,2017-02-12T09:25:00Z,2017-02-12T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-12T09:28:00Z,2017-02-12T10:17:00Z,5432375945   ,136861,Economy,6300.00,,,,,,,,,,,,,,5432375945   ,136861,64,16C,SU9,Sukhoi Superjet-100,3000
136605,PG0480,2017-02-15T09:25:00Z,2017-02-15T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-15T09:28:00Z,2017-02-15T10:19:00Z,5432375992   ,136605,Economy,6300.00,,,,,,,,,,,,,,5432375992   ,136605,33,16C,SU9,Sukhoi Superjet-100,3000
136729,PG0480,2017-01-29T09:25:00Z,2017-01-29T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-29T09:29:00Z,2017-01-29T10:19:00Z,5432319604   ,136729,Economy,6300.00,,,,,,,,,,,,,,5432319604   ,136729,77,16C,SU9,Sukhoi Superjet-100,3000
136642,PG0480,2017-01-30T09:25:00Z,2017-01-30T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-30T09:28:00Z,2017-01-30T10:17:00Z,5432319676   ,136642,Economy,6300.00,,,,,,,,,,,,,,5432319676   ,136642,5,16C,SU9,Sukhoi Superjet-100,3000
136780,PG0480,2017-02-24T09:25:00Z,2017-02-24T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-24T09:30:00Z,2017-02-24T10:20:00Z,5432320721   ,136780,Economy,6300.00,,,,,,,,,,,,,,5432320721   ,136780,20,16C,SU9,Sukhoi Superjet-100,3000
136827,PG0480,2017-02-18T09:25:00Z,2017-02-18T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-18T09:26:00Z,2017-02-18T10:17:00Z,5432320663   ,136827,Economy,6300.00,,,,,,,,,,,,,,5432320663   ,136827,44,16C,SU9,Sukhoi Superjet-100,3000
136953,PG0480,2017-02-27T09:25:00Z,2017-02-27T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-27T09:27:00Z,2017-02-27T10:17:00Z,5432376507   ,136953,Economy,6300.00,,,,,,,,,,,,,,5432376507   ,136953,94,16C,SU9,Sukhoi Superjet-100,3000
136936,PG0480,2017-01-02T09:25:00Z,2017-01-02T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-02T09:28:00Z,2017-01-02T10:18:00Z,5432374344   ,136936,Economy,6300.00,,,,,,,,,,,,,,5432374344   ,136936,41,16C,SU9,Sukhoi Superjet-100,3000
136645,PG0480,2017-01-05T09:25:00Z,2017-01-05T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-05T09:29:00Z,2017-01-05T10:20:00Z,5432374300   ,136645,Economy,6300.00,,,,,,,,,,,,,,5432374300   ,136645,26,16C,SU9,Sukhoi Superjet-100,3000
136907,PG0480,2017-01-16T09:25:00Z,2017-01-16T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-16T09:31:00Z,2017-01-16T10:22:00Z,5432374891   ,136907,Economy,6300.00,,,,,,,,,,,,,,5432374891   ,136907,69,16C,SU9,Sukhoi Superjet-100,3000
136720,PG0480,2017-01-26T09:25:00Z,2017-01-26T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-26T09:29:00Z,2017-01-26T10:19:00Z,5432375092   ,136720,Economy,6300.00,,,,,,,,,,,,,,5432375092   ,136720,35,16C,SU9,Sukhoi Superjet-100,3000
136654,PG0480,2017-01-19T09:25:00Z,2017-01-19T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-19T09:28:00Z,2017-01-19T10:17:00Z,5432375189   ,136654,Economy,6300.00,,,,,,,,,,,,,,5432375189   ,136654,42,16C,SU9,Sukhoi Superjet-100,3000
136841,PG0480,2017-02-07T09:25:00Z,2017-02-07T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-07T09:25:00Z,2017-02-07T10:16:00Z,5432375736   ,136841,Economy,6300.00,,,,,,,,,,,,,,5432375736   ,136841,62,16C,SU9,Sukhoi Superjet-100,3000
136600,PG0480,2017-02-08T09:25:00Z,2017-02-08T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-08T09:26:00Z,2017-02-08T10:16:00Z,5432375825   ,136600,Economy,6300.00,,,,,,,,,,,,,,5432375825   ,136600,1,16C,SU9,Sukhoi Superjet-100,3000
136666,PG0480,2017-02-09T09:25:00Z,2017-02-09T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-09T09:26:00Z,2017-02-09T10:16:00Z,5432375947   ,136666,Economy,6300.00,,,,,,,,,,,,,,5432375947   ,136666,62,16C,SU9,Sukhoi Superjet-100,3000
136875,PG0480,2017-02-16T09:25:00Z,2017-02-16T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-16T09:29:00Z,2017-02-16T10:19:00Z,5432375998   ,136875,Economy,6300.00,,,,,,,,,,,,,,5432375998   ,136875,75,16C,SU9,Sukhoi Superjet-100,3000
136769,PG0480,2017-02-10T09:25:00Z,2017-02-10T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-10T09:30:00Z,2017-02-10T10:21:00Z,5432376086   ,136769,Economy,6300.00,,,,,,,,,,,,,,5432376086   ,136769,62,16C,SU9,Sukhoi Superjet-100,3000
136888,PG0480,2017-02-14T09:25:00Z,2017-02-14T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-14T09:29:00Z,2017-02-14T10:19:00Z,5432376121   ,136888,Economy,6300.00,,,,,,,,,,,,,,5432376121   ,136888,11,16C,SU9,Sukhoi Superjet-100,3000
136907,PG0480,2017-01-16T09:25:00Z,2017-01-16T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-16T09:31:00Z,2017-01-16T10:22:00Z,5432374904   ,136907,Economy,6300.00,,,,,,,,,,,,,,5432374904   ,136907,48,16D,SU9,Sukhoi Superjet-100,3000
136927,PG0480,2017-01-22T09:25:00Z,2017-01-22T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-22T09:28:00Z,2017-01-22T10:19:00Z,5432375086   ,136927,Economy,6300.00,,,,,,,,,,,,,,5432375086   ,136927,58,16D,SU9,Sukhoi Superjet-100,3000
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,5432318210   ,136661,Economy,6300.00,,,,,,,,,,,,,,5432318210   ,136661,43,16D,SU9,Sukhoi Superjet-100,3000
136586,PG0480,2017-01-10T09:25:00Z,2017-01-10T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-10T09:28:00Z,2017-01-10T10:18:00Z,5432318811   ,136586,Economy,6300.00,,,,,,,,,,,,,,5432318811   ,136586,74,16D,SU9,Sukhoi Superjet-100,3000
136649,PG0480,2017-01-18T09:25:00Z,2017-01-18T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-18T09:25:00Z,2017-01-18T10:15:00Z,5432318942   ,136649,Economy,6300.00,,,,,,,,,,,,,,5432318942   ,136649,73,16D,SU9,Sukhoi Superjet-100,3000
136758,PG0480,2017-01-12T09:25:00Z,2017-01-12T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-12T09:26:00Z,2017-01-12T10:15:00Z,5432318962   ,136758,Economy,6300.00,,,,,,,,,,,,,,5432318962   ,136758,25,16D,SU9,Sukhoi Superjet-100,3000
136612,PG0480,2017-02-21T09:25:00Z,2017-02-21T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-21T09:27:00Z,2017-02-21T10:17:00Z,5432376331   ,136612,Economy,6300.00,,,,,,,,,,,,,,5432376331   ,136612,41,16D,SU9,Sukhoi Superjet-100,3000
136605,PG0480,2017-02-15T09:25:00Z,2017-02-15T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-15T09:28:00Z,2017-02-15T10:19:00Z,5432320307   ,136605,Economy,6300.00,,,,,,,,,,,,,,5432320307   ,136605,37,16D,SU9,Sukhoi Superjet-100,3000
136844,PG0480,2017-02-28T09:25:00Z,2017-02-28T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-28T09:26:00Z,2017-02-28T10:16:00Z,5432376650   ,136844,Economy,6300.00,,,,,,,,,,,,,,5432376650   ,136844,52,16D,SU9,Sukhoi Superjet-100,3000
136709,PG0480,2017-01-15T09:25:00Z,2017-01-15T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-15T09:28:00Z,2017-01-15T10:18:00Z,5432374816   ,136709,Economy,6300.00,,,,,,,,,,,,,,5432374816   ,136709,17,16D,SU9,Sukhoi Superjet-100,3000
136571,PG0480,2017-01-25T09:25:00Z,2017-01-25T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-25T09:28:00Z,2017-01-25T10:18:00Z,5432375001   ,136571,Economy,6300.00,,,,,,,,,,,,,,5432375001   ,136571,65,16D,SU9,Sukhoi Superjet-100,3000
136869,PG0480,2017-01-31T09:25:00Z,2017-01-31T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-31T09:26:00Z,2017-01-31T10:16:00Z,5432375607   ,136869,Economy,6300.00,,,,,,,,,,,,,,5432375607   ,136869,10,16D,SU9,Sukhoi Superjet-100,3000
136951,PG0480,2017-02-02T09:25:00Z,2017-02-02T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-02T09:28:00Z,2017-02-02T10:17:00Z,5432375676   ,136951,Economy,6300.00,,,,,,,,,,,,,,5432375676   ,136951,37,16D,SU9,Sukhoi Superjet-100,3000
136802,PG0480,2017-02-26T09:25:00Z,2017-02-26T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-26T09:32:00Z,2017-02-26T10:22:00Z,5432376427   ,136802,Economy,6300.00,,,,,,,,,,,,,,5432376427   ,136802,81,16D,SU9,Sukhoi Superjet-100,3000
136823,PG0480,2017-02-05T09:25:00Z,2017-02-05T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-05T09:27:00Z,2017-02-05T10:18:00Z,5432375744   ,136823,Economy,6300.00,,,,,,,,,,,,,,5432375744   ,136823,38,16D,SU9,Sukhoi Superjet-100,3000
136780,PG0480,2017-02-24T09:25:00Z,2017-02-24T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-24T09:30:00Z,2017-02-24T10:20:00Z,5432053825   ,136780,Economy,6300.00,,,,,,,,,,,,,,5432053825   ,136780,21,16D,SU9,Sukhoi Superjet-100,3000
136857,PG0480,2017-02-13T09:25:00Z,2017-02-13T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-13T09:31:00Z,2017-02-13T10:21:00Z,5432376019   ,136857,Economy,6300.00,,,,,,,,,,,,,,5432376019   ,136857,66,16D,SU9,Sukhoi Superjet-100,3000
