,Restaurant_id,Cuisine Style,Price Range,Number of Reviews
203,id_3031,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,28
302,id_9572,['French'],,12
53,id_279,"['Italian', 'Pizza', 'European']",$$ - $$$,463
303,id_538,"['American', 'Steakhouse', 'Bar']",$$ - $$$,103
44,id_2192,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,28
315,id_14403,['Turkish'],,5
160,id_1945,"['Chinese', 'International', 'Asian']",$$ - $$$,10
420,id_317,"['French', 'European', 'Vegetarian Friendly']",$$ - $$$,635
71,id_851,,,
106,id_2926,,,
110,id_4278,,,
244,id_5357,,,
368,id_8811,"['Bar', 'Pub']",$$ - $$$,35
84,id_2171,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,172
229,id_4196,"['Bar', 'Pub']",$$ - $$$,2
186,id_2681,,,5
34,id_2427,"['Italian', 'Pizza', 'Fast Food']",$,77
40,id_2711,"['Bar', 'Cafe', 'Mediterranean']",$,18
72,id_793,"['Irish', 'European', 'Vegetarian Friendly']",$$ - $$$,84
195,id_1524,"['Pizza', 'Fast Food', 'Greek']",$,49
120,id_2769,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,403
123,id_3015,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,1195
193,id_8,"['European', 'Eastern European', 'Central European']",$$ - $$$,1279
149,id_229,"['Cafe', 'European', 'Pub']",$$ - $$$,70
157,id_770,"['Steakhouse', 'Brazilian', 'Fusion']",$$ - $$$,27
43,id_9924,['Pub'],$,51
127,id_10343,"['French', 'European']",$,29
194,id_7672,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,82
211,id_8588,"['Quick Bites', 'Mexican', 'Fast Food']",$,55
231,id_3556,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,29
92,id_7814,"['Fast Food', 'Healthy', 'Vegetarian Friendly']",$$ - $$$,25
142,id_14612,,$,52
119,id_11602,,$$ - $$$,33
235,id_4598,,,1
172,id_3233,"['Italian', 'Mediterranean', 'Wine Bar']",$$ - $$$,368
257,id_128,"['Italian', 'Mediterranean', 'European']",$$ - $$$,319
141,id_4157,"['Italian', 'European', 'Vegetarian Friendly']",$$ - $$$,212
316,id_1698,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,30
309,id_3896,"['American', 'Latin', 'Venezuelan']",$$ - $$$,45
148,id_746,"['International', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,237
217,id_13892,"['French', 'Deli', 'Healthy']",$$ - $$$,2
290,id_5926,"['Japanese', 'Asian', 'Korean']",$$ - $$$,66
270,id_13354,['Thai'],$,35
350,id_1334,"['Bar', 'Pub']",$,4
335,id_7701,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,52
108,id_2047,,,
330,id_1533,"['French', 'European']",$$ - $$$,142
354,id_1630,"['Italian', 'Vegetarian Friendly']",$$ - $$$,14
394,id_1989,['Italian'],$$ - $$$,18
381,id_1857,,,4
360,id_14074,['American'],,16
369,id_8227,"['Bar', 'Pub']",,4
361,id_3221,"['Italian', 'Pizza', 'Seafood']",$$ - $$$,103
27,id_2108,,,
435,id_6874,,,1
20,id_368,,,
353,id_3625,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,265
397,id_1254,['Italian'],,6
366,id_4481,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,1291
21,id_5844,,,
271,id_773,,,
150,id_810,,,
440,id_12287,,,
264,id_7226,"['Mediterranean', 'European', 'Portuguese']",$,26
2,id_352,"['Japanese', 'Sushi', 'Asian']",$$$$,991
198,id_2491,"['Dessert', 'Italian', 'Vegetarian Friendly']",$,148
156,id_1280,['Indian'],,10
115,id_886,['Eastern European'],$$ - $$$,14
117,id_3436,"['Italian', 'Vegetarian Friendly', 'Vegan Options']",$,37
111,id_5296,['Italian'],,9
130,id_1251,"['Cafe', 'Vegetarian Friendly', 'Vegan Options']",$,19
112,id_5,"['French', 'Swiss', 'European']",$$ - $$$,1592
152,id_5206,,,9
215,id_1246,"['Greek', 'Vegetarian Friendly']",$$ - $$$,22
171,id_1976,"['French', 'European']",$$ - $$$,478
155,id_8993,"['Asian', 'Korean']",$,14
190,id_529,"['Italian', 'Pizza', 'Seafood']",$$ - $$$,291
138,id_1722,"['Asian', 'Tibetan', 'Nepali']",$$ - $$$,13
113,id_6011,"['Italian', 'Pizza']",$$ - $$$,60
122,id_198,"['Italian', 'Mediterranean', 'European']",$$$$,281
179,id_482,"['Indian', 'Pakistani', 'Vegetarian Friendly']",$$ - $$$,53
98,id_1435,"['Italian', 'Pizza', 'Mediterranean']",$,29
116,id_4633,"['Indian', 'Pakistani', 'Vegetarian Friendly']",$,76
170,id_249,"['Seafood', 'Mediterranean', 'European']",$$ - $$$,162
208,id_941,"['Quick Bites', 'Fast Food']",$,36
128,id_8449,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,1805
188,id_3053,"['Italian', 'Mediterranean', 'European']",$$ - $$$,201
129,id_9009,['Vegetarian Friendly'],$$ - $$$,23
166,id_211,"['American', 'Contemporary', 'Vegetarian Friendly']",$$ - $$$,808
174,id_2044,,,9
204,id_1810,"['Asian', 'Vietnamese', 'Vegetarian Friendly']",$,106
216,id_2273,"['Austrian', 'European', 'Central European']",$,11
125,id_2858,"['Italian', 'Gluten Free Options']",$$ - $$$,458
214,id_10876,"['Indian', 'Asian', 'Eastern European']",$$ - $$$,25
279,id_1539,"['Chinese', 'Asian', 'Cantonese']",$$ - $$$,57
185,id_2660,,$$ - $$$,44
242,id_960,"['Greek', 'Vegetarian Friendly']",$,21
278,id_3462,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']",$,26
4,id_615,"['German', 'European', 'Central European']",$$ - $$$,178
218,id_313,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,19
222,id_1000,"['Cafe', 'European', 'Portuguese']",$,23
189,id_2137,"['European', 'Portuguese']",,3
182,id_13563,['Seafood'],$,7
246,id_13074,['Asian'],,3
205,id_451,"['American', 'Bar', 'International']",$$ - $$$,293
209,id_3022,"['Italian', 'Pizza', 'Vegetarian Friendly']",$,49
260,id_6720,,,2
336,id_540,,,6
299,id_1611,"['Pizza', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,733
259,id_12381,['French'],$$ - $$$,4
224,id_4777,['Bar'],$$ - $$$,84
292,id_6678,"['Mediterranean', 'Spanish']",$$ - $$$,24
255,id_2155,,$,21
227,id_342,"['American', 'Fast Food', 'Diner']",$$ - $$$,118
14,id_4773,"['Seafood', 'Mediterranean', 'European']",$$ - $$$,13
243,id_1132,"['Japanese', 'Asian', 'Vegetarian Friendly']",$$$$,317
249,id_11432,['Basque'],$$ - $$$,22
239,id_384,"['Italian', 'Mediterranean', 'European']",$$ - $$$,77
48,id_2098,"['Cafe', 'Mediterranean', 'European']",$$ - $$$,295
237,id_20,"['European', 'Central European', 'Hungarian']",$$$$,1255
252,id_12703,"['French', 'Bar', 'European']",$$ - $$$,146
329,id_702,['Portuguese'],$$ - $$$,37
54,id_155,"['Steakhouse', 'Latin', 'Barbecue']",$$ - $$$,705
307,id_13199,"['Italian', 'Pizza']",,11
39,id_3131,"['Italian', 'Bar', 'Vegetarian Friendly']",$$ - $$$,761
212,id_14134,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,69
206,id_304,"['European', 'Portuguese']",$,94
226,id_12302,['Italian'],$$ - $$$,17
46,id_8460,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",$$ - $$$,36
225,id_1010,"['Italian', 'Mediterranean']",$$ - $$$,15
200,id_1475,"['Indian', 'Asian', 'Vegetarian Friendly']",$$ - $$$,430
213,id_2575,"['Asian', 'Thai', 'Vegetarian Friendly']",$$ - $$$,266
282,id_3327,"['Indian', 'Asian', 'Pakistani']",$$ - $$$,191
236,id_4706,"['Chinese', 'Japanese', 'Asian']",$$ - $$$,490
306,id_3891,['Italian'],,6
275,id_4618,,,2
273,id_1341,"['Italian', 'Pizza', 'European']",$,154
313,id_956,"['Chinese', 'Spanish']",$$ - $$$,12
261,id_1115,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,109
274,id_6536,"['Mediterranean', 'Spanish']",$$ - $$$,136
265,id_3037,"['Italian', 'Pizza', 'Vegetarian Friendly']",$,51
101,id_2040,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']",$$ - $$$,478
322,id_5916,,$$ - $$$,71
262,id_7075,['Fast Food'],$,26
258,id_50,"['Quick Bites', 'Italian', 'Brew Pub']",$,1221
326,id_2185,,,1
305,id_1201,"['Russian', 'Vegetarian Friendly']",$$ - $$$,28
301,id_1272,"['Mediterranean', 'European', 'Spanish']",$$$$,626
298,id_1040,"['Bar', 'Fast Food', 'European']",$,18
250,id_1464,"['Italian', 'Mediterranean', 'European']",$$ - $$$,843
304,id_2255,"['Portuguese', 'Vegetarian Friendly']",$$ - $$$,30
153,id_4519,"['Chinese', 'Asian', 'Cantonese']",$$ - $$$,1703
96,id_3412,"['Quick Bites', 'Fast Food']",$,30
234,id_3652,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,292
325,id_1712,"['Italian', 'International']",$$ - $$$,9
280,id_7038,"['Bar', 'British', 'Pub']",$$ - $$$,138
384,id_12449,,,1
374,id_1583,"['European', 'Czech']",$$ - $$$,15
321,id_1168,"['Seafood', 'European', 'Portuguese']",$$ - $$$,94
424,id_1403,,,1
729,id_2074,['Vietnamese'],,1
382,id_5177,"['Italian', 'Mediterranean', 'Egyptian']",$,18
429,id_6207,['Spanish'],$$ - $$$,15
393,id_2473,"['Italian', 'Pizza', 'Vegetarian Friendly']",$,116
417,id_3631,['Italian'],$,12
448,id_12824,"['Chinese', 'Vegetarian Friendly']",,7
439,id_6092,"['Peruvian', 'South American']",$,49
434,id_7028,['Moroccan'],$$ - $$$,124
403,id_2778,['Spanish'],$$ - $$$,36
453,id_862,"['Italian', 'Pizza', 'Seafood']",$$ - $$$,348
415,id_773,"['French', 'European']",$$ - $$$,17
371,id_402,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,1505
464,id_717,"['Mediterranean', 'European', 'Greek']",$$ - $$$,77
338,id_3244,"['Belgian', 'Bar', 'European']",$$ - $$$,156
383,id_7986,"['Cafe', 'British', 'Vegetarian Friendly']",$,42
145,id_8121,"['Bar', 'Cafe', 'Fast Food']",$$ - $$$,2834
479,id_12473,,,16
220,id_2074,,,
558,id_788,"['Mexican', 'Fast Food', 'Vegetarian Friendly']",$,39
728,id_5169,"['Mediterranean', 'Spanish']",,8
146,id_4429,,,
197,id_636,,,
241,id_5183,,,
732,id_1907,,,
573,id_8453,,,
314,id_1268,['French'],$,49
102,id_1409,"['French', 'European', 'Hungarian']",$$ - $$$,48
283,id_8560,"['Barbecue', 'British']",$$ - $$$,20
337,id_1228,"['International', 'Mediterranean', 'Spanish']",$$ - $$$,133
263,id_12045,['Caribbean'],$$ - $$$,11
319,id_1257,"['Chinese', 'Asian', 'Vegetarian Friendly']",$$ - $$$,155
312,id_1033,"['Mediterranean', 'European', 'Turkish']",$$ - $$$,324
291,id_13175,"['French', 'International', 'European']",$$ - $$$,208
286,id_3191,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,154
82,id_361,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,374
334,id_206,"['Japanese', 'International', 'Asian']",$$ - $$$,162
311,id_438,"['European', 'Portuguese']",$,81
451,id_885,"['Irish', 'Bar', 'European']",$$ - $$$,479
328,id_1754,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,485
68,id_8648,"['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",$$ - $$$,71
284,id_4367,"['Bar', 'British', 'Pub']",$$ - $$$,113
363,id_981,"['American', 'Fast Food']",$,13
294,id_173,"['Seafood', 'Mediterranean', 'Barbecue']",$$ - $$$,192
289,id_31,"['Lebanese', 'Mediterranean', 'Middle Eastern']",$$ - $$$,764
317,id_283,"['Bar', 'Cafe', 'Pub']",$$ - $$$,13
332,id_2111,"['Mediterranean', 'European', 'Greek']",$$ - $$$,184
343,id_1608,['Italian'],,9
344,id_45,"['Austrian', 'Vegetarian Friendly', 'Gluten Free Options']",$$ - $$$,3429
380,id_4092,['Italian'],$$ - $$$,49
370,id_8834,['Ethiopian'],$,6
412,id_9877,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,70
421,id_1374,"['European', 'Danish']",$$ - $$$,101
342,id_12014,"['Seafood', 'Healthy']",,16
358,id_2465,['Spanish'],$$ - $$$,56
441,id_2928,"['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",$$ - $$$,80
331,id_684,"['Bar', 'International']",$$ - $$$,89
310,id_530,"['French', 'European']",$$ - $$$,432
642,id_12247,,,3
137,id_820,"['Italian', 'Pizza', 'Vegetarian Friendly']",$,204
405,id_1651,['Deli'],,7
114,id_678,"['Italian', 'Pizza', 'Neapolitan']",$$ - $$$,147
410,id_4090,"['Italian', 'European', 'Vegetarian Friendly']",$$ - $$$,26
372,id_5781,,,1
398,id_1741,,,17
396,id_5109,,,6
408,id_8464,"['French', 'Cafe']",$$ - $$$,29
431,id_3669,"['European', 'Portuguese']",,9
414,id_729,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,59
385,id_7510,['Spanish'],,13
404,id_152,"['Japanese', 'Sushi', 'European']",$$ - $$$,125
407,id_5560,"['French', 'African', 'Moroccan']",$$ - $$$,104
348,id_1313,['Cafe'],$$ - $$$,5
340,id_1208,"['Asian', 'Vietnamese', 'Street Food']",$$ - $$$,36
416,id_7686,['Mexican'],$,5
391,id_986,"['Italian', 'Mediterranean', 'European']",$$ - $$$,388
458,id_6803,"['Pizza', 'Spanish']",$,19
373,id_1414,"['Italian', 'Pizza', 'Neapolitan']",$,316
426,id_1815,"['Italian', 'Pizza', 'Fast Food']",$$ - $$$,1386
450,id_8524,"['Italian', 'Pizza']",$$ - $$$,2
357,id_400,"['Mediterranean', 'European', 'Vegetarian Friendly']",$$ - $$$,1215
351,id_7657,,$,34
167,id_8305,"['Japanese', 'Asian']",$$ - $$$,22
346,id_6690,"['Seafood', 'European', 'Spanish']",$$ - $$$,37
356,id_1069,"['Japanese', 'Sushi']",$$ - $$$,17
365,id_322,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,768
406,id_2224,"['French', 'European', 'Wine Bar']",$$ - $$$,181
452,id_1751,"['French', 'European', 'Vegetarian Friendly']",$$$$,146
388,id_7665,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,245
411,id_1346,"['American', 'Vegetarian Friendly', 'Vegan Options']",$,275
436,id_5013,"['Asian', 'Vietnamese']",$$$$,136
402,id_245,"['Cafe', 'European', 'British']",$$ - $$$,268
442,id_2042,['Pub'],,3
390,id_6149,"['Mediterranean', 'European']",$$ - $$$,34
423,id_2259,,,6
427,id_3479,,,1
557,id_9347,['Italian'],,1
38,id_11291,,,
140,id_2044,,,
528,id_991,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,42
509,id_12622,['Indian'],$$ - $$$,1
560,id_1776,"['Polish', 'European']",$,8
201,id_72,,,
503,id_6492,['Spanish'],$$ - $$$,17
323,id_3302,,,
605,id_11272,['International'],$,7
253,id_1339,,,
742,id_2468,,,
801,id_14351,,,
395,id_6607,"['Bar', 'European', 'Spanish']",$$ - $$$,25
18,id_3127,"['German', 'Cafe', 'International']",$$ - $$$,75
196,id_984,"['Italian', 'Mediterranean', 'European']",$$$$,1140
191,id_412,"['Indian', 'Asian', 'Balti']",$$ - $$$,648
296,id_5738,"['Japanese', 'Sushi', 'Vegetarian Friendly']",$$ - $$$,75
287,id_1780,"['Dessert', 'Italian', 'Cafe']",$,60
251,id_987,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,262
276,id_330,"['Mediterranean', 'Vegetarian Friendly', 'Gluten Free Options']",$$ - $$$,304
300,id_914,"['Italian', 'Pizza']",$,44
308,id_332,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,804
293,id_639,"['Quick Bites', 'American', 'Bar']",$$ - $$$,113
324,id_377,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,134
389,id_2866,"['Chinese', 'Asian', 'Vegetarian Friendly']",$,54
665,id_2540,,,3
438,id_2469,,$$ - $$$,10
419,id_5908,['Italian'],$$ - $$$,7
392,id_1536,"['Asian', 'Vegetarian Friendly']",$,30
432,id_216,"['Bar', 'Cafe', 'International']",$$ - $$$,315
135,id_237,"['Swedish', 'Scandinavian', 'Vegetarian Friendly']",$$ - $$$,184
449,id_13478,,$$ - $$$,9
144,id_4505,,$,77
136,id_4653,['Spanish'],$,20
131,id_7472,"['French', 'Cafe', 'Vegetarian Friendly']",$,45
281,id_12089,,$$ - $$$,15
333,id_2171,['Steakhouse'],$$ - $$$,71
428,id_1619,"['Italian', 'Pizza', 'Fast Food']",$$ - $$$,135
359,id_459,"['Italian', 'Seafood', 'Mediterranean']",$$$$,595
470,id_4746,['German'],,10
465,id_11082,"['French', 'Bar', 'European']",$$ - $$$,47
345,id_2041,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']",$$ - $$$,231
56,id_1585,,,
445,id_156,"['Irish', 'Bar', 'European']",$$ - $$$,635
539,id_8120,['Diner'],,6
684,id_580,"['European', 'Eastern European']",,4
543,id_7761,,,1
517,id_7385,"['South American', 'Ecuadorean']",,1
548,id_1971,"['European', 'Portuguese']",$,14
739,id_373,,,1
180,id_5023,,,
526,id_7809,,$$ - $$$,18
612,id_1167,"['European', 'Deli', 'Contemporary']",$$ - $$$,121
223,id_2355,,,
726,id_3150,,,2
669,id_8235,,,1
254,id_13695,"['Steakhouse', 'Mediterranean', 'Greek']",$$ - $$$,73
297,id_2288,['French'],,6
673,id_2851,,,7
272,id_961,"['Moroccan', 'Mediterranean']",$$ - $$$,73
199,id_16034,,,
162,id_1141,,,
107,id_8240,,,
752,id_6936,"['Bar', 'Cafe', 'Australian']",$$ - $$$,142
834,id_441,['French'],$$ - $$$,30
786,id_4062,,,1
780,id_9027,"['Indian', 'Asian', 'Vegetarian Friendly']",$$ - $$$,16
841,id_1547,"['Chinese', 'Japanese', 'Seafood']",$$ - $$$,209
484,id_163,"['Mediterranean', 'Middle Eastern', 'Vegetarian Friendly']",$,139
177,id_13850,,,
571,id_293,"['Bar', 'Mediterranean', 'European']",$$ - $$$,1094
554,id_400,"['International', 'Fusion']",$$$$,1195
645,id_936,"['Cafe', 'Fast Food', 'Greek']",$,45
702,id_1811,"['Chinese', 'German', 'Deli']",$$ - $$$,2
722,id_7453,['Spanish'],,3
525,id_1714,['Chinese'],,5
852,id_2727,,,2
518,id_3604,['Spanish'],$$ - $$$,3
529,id_1391,"['American', 'Fast Food', 'International', 'European']",,1
678,id_874,['Pizza'],$$ - $$$,15
798,id_427,,,
583,id_1850,,$,7
143,id_5080,,,
595,id_1986,"['European', 'Czech']",,3
95,id_3703,"['French', 'Gastropub']",$$ - $$$,1888
437,id_3695,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,129
352,id_73,"['Indian', 'Asian', 'Vegetarian Friendly']",$$ - $$$,2424
400,id_451,"['Mediterranean', 'European', 'Portuguese']",$,130
367,id_7992,['Spanish'],$$ - $$$,17
409,id_459,"['Quick Bites', 'Fast Food', 'Vegetarian Friendly']",$,122
413,id_9010,"['Italian', 'French', 'American']",$$ - $$$,49
375,id_4549,"['Italian', 'Mediterranean']",$$ - $$$,64
418,id_12364,,,3
339,id_3998,"['Italian', 'Vegetarian Friendly', 'Gluten Free Options']",$$ - $$$,177
378,id_191,"['Bar', 'Pub', 'Norwegian']",$$ - $$$,80
831,id_580,"['Cafe', 'European', 'Scandinavian']",$$ - $$$,29
899,id_3786,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,31
860,id_17,"['Italian', 'Mediterranean', 'Deli']",$,503
245,id_2961,"['German', 'Mediterranean', 'European']",$$ - $$$,108
473,id_8038,,,1
158,id_2458,,,
485,id_615,"['Bar', 'International', 'Mediterranean']",$$ - $$$,44
460,id_482,"['French', 'Swiss', 'European']",$$ - $$$,30
49,id_1048,,,
649,id_1879,"['European', 'Vegetarian Friendly', 'Vegan Options']",$,59
556,id_846,"['Chinese', 'Sushi', 'Asian']",$,84
552,id_3909,"['Italian', 'Vegetarian Friendly']",$$ - $$$,12
710,id_4288,"['Italian', 'Cafe', 'Pub', 'Gastropub']",,13
693,id_3038,"['European', 'Portuguese']",$$ - $$$,15
523,id_270,"['Italian', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,468
580,id_1089,"['French', 'Bar', 'Pub']",$$ - $$$,39
714,id_1182,"['Japanese', 'Sushi']",,3
647,id_2753,['Bar'],$,81
510,id_9406,,$$ - $$$,4
613,id_866,,$,21
625,id_197,"['American', 'International']",$$ - $$$,26
687,id_2793,"['Italian', 'Pizza', 'Vegetarian Friendly']",$,95
718,id_3360,"['Italian', 'Pizza']",$,83
717,id_863,"['Mediterranean', 'Turkish', 'Middle Eastern']",$$ - $$$,200
675,id_890,,,7
461,id_4180,"['Pub', 'Vegetarian Friendly']",$$ - $$$,35
581,id_820,"['Italian', 'Pizza', 'Seafood']",$,233
