,Cuisine Style,Price Range,Number of Reviews
563,"['European', 'Contemporary', 'Portuguese']",$$ - $$$,27
561,['Italian'],,12
56,,,
536,,,4
27,,,
107,,,
914,"['Bar', 'Grill', 'Pub']",,2
300,"['Italian', 'Pizza']",$,44
255,,$,21
139,,,
562,,,
303,"['American', 'Steakhouse', 'Bar']",$$ - $$$,103
192,,$$ - $$$,149
185,,$$ - $$$,44
128,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,1805
339,"['Italian', 'Vegetarian Friendly', 'Gluten Free Options']",$$ - $$$,177
352,"['Indian', 'Asian', 'Vegetarian Friendly']",$$ - $$$,2424
546,"['Thai', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,562
550,"['Mediterranean', 'European', 'Healthy']",$$ - $$$,585
155,"['Asian', 'Korean']",$,14
187,,,2
304,"['Portuguese', 'Vegetarian Friendly']",$$ - $$$,30
228,,$,8
348,['Cafe'],$$ - $$$,5
14,"['Seafood', 'Mediterranean', 'European']",$$ - $$$,13
385,['Spanish'],,13
365,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,768
282,"['Indian', 'Asian', 'Pakistani']",$$ - $$$,191
296,"['Japanese', 'Sushi', 'Vegetarian Friendly']",$$ - $$$,75
259,['French'],$$ - $$$,4
115,['Eastern European'],$$ - $$$,14
372,,,1
221,,,3
48,"['Cafe', 'Mediterranean', 'European']",$$ - $$$,295
258,"['Quick Bites', 'Italian', 'Brew Pub']",$,1221
428,"['Italian', 'Pizza', 'Fast Food']",$$ - $$$,135
423,,,6
172,"['Italian', 'Mediterranean', 'Wine Bar']",$$ - $$$,368
212,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,69
378,"['Bar', 'Pub', 'Norwegian']",$$ - $$$,80
382,"['Italian', 'Mediterranean', 'Egyptian']",$,18
345,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']",$$ - $$$,231
287,"['Dessert', 'Italian', 'Cafe']",$,60
145,"['Bar', 'Cafe', 'Fast Food']",$$ - $$$,2834
442,['Pub'],,3
291,"['French', 'International', 'European']",$$ - $$$,208
396,,,6
485,"['Bar', 'International', 'Mediterranean']",$$ - $$$,44
328,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,485
324,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,134
173,"['Quick Bites', 'Bar', 'Pub']",$,53
337,"['International', 'Mediterranean', 'Spanish']",$$ - $$$,133
95,"['French', 'Gastropub']",$$ - $$$,1888
280,"['Bar', 'British', 'Pub']",$$ - $$$,138
308,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,804
250,"['Italian', 'Mediterranean', 'European']",$$ - $$$,843
406,"['French', 'European', 'Wine Bar']",$$ - $$$,181
368,"['Bar', 'Pub']",$$ - $$$,35
278,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']",$,26
395,"['Bar', 'European', 'Spanish']",$$ - $$$,25
366,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,1291
377,"['French', 'Bar', 'Cafe']",$$ - $$$,104
432,"['Bar', 'Cafe', 'International']",$$ - $$$,315
388,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,245
252,"['French', 'Bar', 'European']",$$ - $$$,146
420,"['French', 'European', 'Vegetarian Friendly']",$$ - $$$,635
391,"['Italian', 'Mediterranean', 'European']",$$ - $$$,388
481,,,2
361,"['Italian', 'Pizza', 'Seafood']",$$ - $$$,103
418,,,3
509,['Indian'],$$ - $$$,1
448,"['Chinese', 'Vegetarian Friendly']",,7
499,"['Mediterranean', 'Barbecue', 'Greek']",$,19
224,['Bar'],$$ - $$$,84
383,"['Cafe', 'British', 'Vegetarian Friendly']",$,42
512,"['French', 'Bar', 'European']",$$ - $$$,182
415,"['French', 'European']",$$ - $$$,17
517,"['South American', 'Ecuadorean']",,1
413,"['Italian', 'French', 'American']",$$ - $$$,49
426,"['Italian', 'Pizza', 'Fast Food']",$$ - $$$,1386
486,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",$$ - $$$,25
445,"['Irish', 'Bar', 'European']",$$ - $$$,635
554,"['International', 'Fusion']",$$$$,1195
347,"['Italian', 'Vegetarian Friendly']",$$ - $$$,42
160,"['Chinese', 'International', 'Asian']",$$ - $$$,10
419,['Italian'],$$ - $$$,7
540,,,2
390,"['Mediterranean', 'European']",$$ - $$$,34
516,"['Cafe', 'European']",$$ - $$$,89
524,['International'],,9
502,"['Cafe', 'British', 'Turkish']",$,14
583,,$,7
528,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,42
539,['Diner'],,6
555,"['French', 'European']",$$ - $$$,44
529,"['American', 'Fast Food', 'International', 'European']",,1
158,,,
576,,,9
31,,,
656,"['Mexican', 'Vegetarian Friendly']",$$ - $$$,28
660,,$$ - $$$,28
21,,,
647,['Bar'],$,81
646,,,5
49,,,
620,"['European', 'Czech']",$$ - $$$,18
124,,,
552,"['Italian', 'Vegetarian Friendly']",$$ - $$$,12
254,"['Steakhouse', 'Mediterranean', 'Greek']",$$ - $$$,73
180,,,
671,"['Mediterranean', 'Greek', 'Vegetarian Friendly']",$$ - $$$,455
969,"['Italian', 'Pizza']",,12
96,"['Quick Bites', 'Fast Food']",$,30
295,,,
267,,,
631,['Spanish'],$,25
421,"['European', 'Danish']",$$ - $$$,101
276,"['Mediterranean', 'Vegetarian Friendly', 'Gluten Free Options']",$$ - $$$,304
532,"['Italian', 'Pizza', 'European']",$$ - $$$,80
883,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,424
359,"['Italian', 'Seafood', 'Mediterranean']",$$$$,595
216,"['Austrian', 'European', 'Central European']",$,11
54,"['Steakhouse', 'Latin', 'Barbecue']",$$ - $$$,705
335,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,52
270,['Thai'],$,35
246,['Asian'],,3
207,['Spanish'],,101
307,"['Italian', 'Pizza']",,11
144,,$,77
393,"['Italian', 'Pizza', 'Vegetarian Friendly']",$,116
186,,,5
232,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,384
326,,,1
190,"['Italian', 'Pizza', 'Seafood']",$$ - $$$,291
170,"['Seafood', 'Mediterranean', 'European']",$$ - $$$,162
136,['Spanish'],$,20
470,['German'],,10
309,"['American', 'Latin', 'Venezuelan']",$$ - $$$,45
234,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,292
163,"['European', 'Healthy', 'Vegetarian Friendly']",$$ - $$$,98
217,"['French', 'Deli', 'Healthy']",$$ - $$$,2
82,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,374
46,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",$$ - $$$,36
211,"['Quick Bites', 'Mexican', 'Fast Food']",$,55
209,"['Italian', 'Pizza', 'Vegetarian Friendly']",$,49
273,"['Italian', 'Pizza', 'European']",$,154
314,['French'],$,49
286,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,154
274,"['Mediterranean', 'Spanish']",$$ - $$$,136
210,"['Fast Food', 'European', 'Healthy']",$,9
206,"['European', 'Portuguese']",$,94
265,"['Italian', 'Pizza', 'Vegetarian Friendly']",$,51
319,"['Chinese', 'Asian', 'Vegetarian Friendly']",$$ - $$$,155
159,"['French', 'German', 'Vegetarian Friendly']",$$ - $$$,206
239,"['Italian', 'Mediterranean', 'European']",$$ - $$$,77
198,"['Dessert', 'Italian', 'Vegetarian Friendly']",$,148
330,"['French', 'European']",$$ - $$$,142
397,['Italian'],,6
354,"['Italian', 'Vegetarian Friendly']",$$ - $$$,14
315,['Turkish'],,5
182,['Seafood'],$,7
374,"['European', 'Czech']",$$ - $$$,15
290,"['Japanese', 'Asian', 'Korean']",$$ - $$$,66
294,"['Seafood', 'Mediterranean', 'Barbecue']",$$ - $$$,192
344,"['Austrian', 'Vegetarian Friendly', 'Gluten Free Options']",$$ - $$$,3429
412,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,70
411,"['American', 'Vegetarian Friendly', 'Vegan Options']",$,275
402,"['Cafe', 'European', 'British']",$$ - $$$,268
299,"['Pizza', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,733
435,,,1
289,"['Lebanese', 'Mediterranean', 'Middle Eastern']",$$ - $$$,764
427,,,1
504,"['Italian', 'Pizza', 'Seafood']",$$ - $$$,257
409,"['Quick Bites', 'Fast Food', 'Vegetarian Friendly']",$,122
519,"['Moroccan', 'Mediterranean']",$,15
474,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",$$ - $$$,92
441,"['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",$$ - $$$,80
492,,$,4
452,"['French', 'European', 'Vegetarian Friendly']",$$$$,146
449,,$$ - $$$,9
469,"['Seafood', 'Mediterranean', 'European', 'Spanish']",,43
488,"['French', 'European', 'Vegetarian Friendly']",$$ - $$$,96
436,"['Asian', 'Vietnamese']",$$$$,136
458,"['Pizza', 'Spanish']",$,19
498,"['Irish', 'Bar', 'European']",$$ - $$$,5168
597,['Italian'],$,8
455,"['French', 'Bar', 'European']",$$ - $$$,199
580,"['French', 'Bar', 'Pub']",$$ - $$$,39
533,,,5
568,"['Brew Pub', 'Bar', 'Pub']",$,97
604,,,6
644,['International'],,37
490,['Italian'],$$ - $$$,16
579,"['Bar', 'Cafe', 'Turkish']",$$ - $$$,57
545,"['Bar', 'European', 'Spanish']",$$ - $$$,89
526,,$$ - $$$,18
148,"['International', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,237
564,"['Cafe', 'European', 'Portuguese']",$,41
569,"['Italian', 'Pizza', 'Seafood']",$$ - $$$,200
511,"['Italian', 'Cafe', 'European']",$$ - $$$,174
541,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,3644
635,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,233
665,,,3
281,,$$ - $$$,15
643,['Spanish'],,6
589,"['Italian', 'Mediterranean', 'Greek']",$,7
531,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,117
874,['Greek'],,1
549,"['Quick Bites', 'Chinese', 'Fast Food']",$,94
642,,,3
653,,,3
595,"['European', 'Czech']",,3
851,['Pizza'],,7
683,['International'],$$ - $$$,20
422,"['Quick Bites', 'International', 'European']",$,311
736,"['French', 'Belgian']",$$ - $$$,44
333,['Steakhouse'],$$ - $$$,71
140,,,
702,"['Chinese', 'German', 'Deli']",$$ - $$$,2
729,['Vietnamese'],,1
703,"['Fast Food', 'Asian', 'Vietnamese']",$$ - $$$,50
146,,,
220,,,
698,"['Quick Bites', 'Cafe', 'Vegan Options']",$,34
763,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,77
797,"['Greek', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,72
791,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,359
376,"['Moroccan', 'Middle Eastern', 'Vegetarian Friendly']",$$$$,69
264,"['Mediterranean', 'European', 'Portuguese']",$,26
853,['Italian'],$$ - $$$,27
931,"['Bakeries', 'International']",,5
387,"['American', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,161
711,"['Bar', 'International', 'British']",$$ - $$$,24
760,"['German', 'Vegetarian Friendly']",$$ - $$$,26
364,"['Italian', 'Bar', 'Cafe']",$$ - $$$,466
199,,,
893,"['Italian', 'Pizza', 'European']",$,37
913,"['European', 'Portuguese']",,3
244,,,
269,,,
513,,,
659,,,
632,,,
475,,,
664,,,
608,,,
935,"['Chinese', 'Vietnamese']",,4
371,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,1505
238,,,
681,,,
301,"['Mediterranean', 'European', 'Spanish']",$$$$,626
439,"['Peruvian', 'South American']",$,49
457,"['Italian', 'Mediterranean', 'Street Food']",$,17
310,"['French', 'European']",$$ - $$$,432
114,"['Italian', 'Pizza', 'Neapolitan']",$$ - $$$,147
237,"['European', 'Central European', 'Hungarian']",$$$$,1255
401,"['French', 'European']",$$ - $$$,221
332,"['Mediterranean', 'European', 'Greek']",$$ - $$$,184
249,['Basque'],$$ - $$$,22
262,['Fast Food'],$,26
464,"['Mediterranean', 'European', 'Greek']",$$ - $$$,77
373,"['Italian', 'Pizza', 'Neapolitan']",$,316
312,"['Mediterranean', 'European', 'Turkish']",$$ - $$$,324
213,"['Asian', 'Thai', 'Vegetarian Friendly']",$$ - $$$,266
461,"['Pub', 'Vegetarian Friendly']",$$ - $$$,35
416,['Mexican'],$,5
68,"['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",$$ - $$$,71
491,"['French', 'European']",$$ - $$$,75
429,['Spanish'],$$ - $$$,15
451,"['Irish', 'Bar', 'European']",$$ - $$$,479
408,"['French', 'Cafe']",$$ - $$$,29
495,"['French', 'European', 'Vegan Options']",$$ - $$$,208
530,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,142
500,"['Mediterranean', 'European', 'Spanish']",$$$$,739
437,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,129
518,['Spanish'],$$ - $$$,3
523,"['Italian', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,468
506,"['Turkish', 'Halal']",$$ - $$$,21
592,"['Lebanese', 'Mediterranean', 'Middle Eastern']",$$ - $$$,227
601,"['European', 'Spanish']",$$ - $$$,175
547,"['American', 'Bar', 'Grill']",$$ - $$$,192
966,['Cafe'],$$ - $$$,16
630,"['Bar', 'Pub']",,3
663,"['Indian', 'Asian', 'Vegetarian Friendly']",$$ - $$$,685
606,"['Mediterranean', 'Portuguese', 'Vegetarian Friendly']",$$ - $$$,123
615,"['Italian', 'Pizza', 'Fast Food']",$,81
566,"['French', 'Bar', 'Cafe']",$$ - $$$,105
106,,,
639,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,146
612,"['European', 'Deli', 'Contemporary']",$$ - $$$,121
598,"['Asian', 'Thai']",$$ - $$$,12
559,['Spanish'],$,8
349,"['Asian', 'Thai', 'Vegetarian Friendly']",$$ - $$$,609
648,"['Bar', 'European']",$$ - $$$,141
544,"['Mediterranean', 'European', 'Portuguese']",$$ - $$$,288
297,['French'],,6
627,"['Lebanese', 'Mediterranean', 'Middle Eastern']",$,102
602,"['Chinese', 'Asian', 'Thai']",,6
587,"['Seafood', 'British']",$$ - $$$,199
661,"['Chinese', 'Asian', 'Thai']",$$ - $$$,299
655,"['Chinese', 'Japanese', 'Sushi']",$,60
634,,$$ - $$$,31
38,,,
201,,,
386,"['Chinese', 'Asian', 'Vegetarian Friendly']",$,73
684,"['European', 'Eastern European']",,4
728,"['Mediterranean', 'Spanish']",,8
673,,,7
714,"['Japanese', 'Sushi']",,3
710,"['Italian', 'Cafe', 'Pub', 'Gastropub']",,13
675,,,7
785,"['Bar', 'European', 'Spanish']",$$ - $$$,130
790,,,4
701,"['Contemporary', 'Vegetarian Friendly', 'Vegan Options']",$$$$,249
755,['Turkish'],$,10
776,['Barbecue'],$$ - $$$,29
841,"['Chinese', 'Japanese', 'Seafood']",$$ - $$$,209
897,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,51
899,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,31
780,"['Indian', 'Asian', 'Vegetarian Friendly']",$$ - $$$,16
970,['Vietnamese'],$$ - $$$,0
916,,,2
961,,$,12
929,"['Bar', 'British', 'Pub']",$$ - $$$,28
150,,,
982,"['Quick Bites', 'Fast Food']",$,124
993,,,6
223,,,
981,,,5
253,,,
248,,,
219,,,
323,,,
588,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,984
535,['Mediterranean'],$$ - $$$,57
